"name","code_2019","category_2019","code_2018","category_2018","code_2017","category_2017","code_2016","category_2016","code_2015","category_2015","code_2014","category_2014"
"Sula dactylatra",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sula granti",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sula sula",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sula leucogaster",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Microcarbo melanoleucos",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Phalacrocorax punctatus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Phalacrocorax featherstoni",NA,NA,"EN","Endangered","EN","Endangered","EN","Endangered",NA,NA,NA,NA
"Phalacrocorax nigrogularis","VU","Vulnerable","VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Leucocarbo carunculatus",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Leucocarbo chalconotus",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Leucocarbo onslowi",NA,NA,"CR","Critically Endangered",NA,NA,"CR","Critically Endangered",NA,NA,NA,NA
"Leucocarbo campbelli",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Leucocarbo colensoi",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Leucocarbo ranfurlyi",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Phalaropus lobatus","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Phalaropus fulicarius",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Anous stolidus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Anous tenuirostris",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Anous minutus",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Gygis alba",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Rynchops niger",NA,NA,NA,NA,NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Creagrus furcatus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Rissa tridactyla","VU","Vulnerable","VU","Vulnerable","VU","Vulnerable","LC","Least Concern",NA,NA,NA,NA
"Pagophila eburnea",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,NA,NA
"Xema sabini",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Hydrocoloeus minutus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Rhodostethia rosea",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus pacificus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus belcheri",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus atlanticus",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,NA,NA
"Larus crassirostris",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus heermanni",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,NA,NA
"Larus canus","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
